create_date,forecast_date,data_source_marker,network_id,master_network_id,timeslot,impression_type,forecast_impressions
2018-02-28,2018-01-05,R,33,,48,H,222515
2018-02-28,2018-01-05,R,33,,49,H,237109
2018-02-28,2018-01-05,R,33,,50,H,223675
2018-02-28,2018-01-05,R,33,,51,H,226334
2018-02-28,2018-01-05,R,33,,52,H,217421
2018-02-28,2018-01-05,R,33,,53,H,232589
2018-02-28,2018-01-05,R,33,,54,H,228042
2018-02-28,2018-01-05,R,33,,55,H,230549
2018-02-28,2018-01-05,R,33,,56,H,232413
2018-02-28,2018-01-05,R,33,,57,H,251565
2018-02-28,2018-01-05,R,33,,58,H,247313
2018-02-28,2018-01-05,R,33,,59,H,262197
2018-02-28,2018-01-05,R,33,,60,H,261238
2018-02-28,2018-01-05,R,33,,61,H,272325
2018-02-28,2018-01-05,R,33,,62,H,291725
2018-02-28,2018-01-05,R,33,,63,H,306171
2018-02-28,2018-01-05,R,33,,64,H,318155
2018-02-28,2018-01-05,R,33,,65,H,320287
2018-02-28,2018-01-05,R,33,,66,H,343737
2018-02-28,2018-01-05,R,33,,67,H,350775
2018-02-28,2018-01-05,R,33,,68,H,365867
2018-02-28,2018-01-05,R,33,,69,H,389703
2018-02-28,2018-01-05,R,33,,70,H,387324
2018-02-28,2018-01-05,R,33,,71,H,405838
2018-02-28,2018-01-05,R,33,,72,H,420818
2018-02-28,2018-01-05,R,33,,73,H,429153
2018-02-28,2018-01-05,R,33,,74,H,451686
2018-02-28,2018-01-05,R,33,,75,H,451321
2018-02-28,2018-01-05,R,33,,76,H,468872
2018-02-28,2018-01-05,R,33,,77,H,469539
2018-02-28,2018-01-05,R,33,,78,H,486464
2018-02-28,2018-01-05,R,33,,79,H,491806
2018-02-28,2018-01-05,R,33,,80,H,486474
2018-02-28,2018-01-05,R,33,,81,H,507343
2018-02-28,2018-01-05,R,33,,82,H,518889
2018-02-28,2018-01-05,R,33,,83,H,536353
2018-02-28,2018-01-05,R,33,,84,H,543571
2018-02-28,2018-01-05,R,33,,85,H,565036
2018-02-28,2018-01-05,R,33,,86,H,596433
2018-02-28,2018-01-05,R,33,,87,H,607439
